FROM TO
10.0.2.15:5353 224.0.0.251:5353
10.0.2.15:49715 20.31.108.18:443
20.31.108.18:443 10.0.2.15:49715
10.0.2.15:49718 204.79.197.203:443
204.79.197.203:443 10.0.2.15:49718
10.0.2.15:49687 23.60.217.236:80
10.0.2.15:49685 23.60.29.148:443
23.60.217.236:80 10.0.2.15:49687
23.60.29.148:443 10.0.2.15:49685
10.0.2.15:49706 2.17.196.155:443
2.17.196.155:443 10.0.2.15:49706
10.0.2.15:49703 204.79.197.203:443
204.79.197.203:443 10.0.2.15:49703
10.0.2.15:51093 109.88.203.3:53
10.0.2.15:63786 109.88.203.3:53
10.0.2.15:53655 109.88.203.3:53
109.88.203.3:53 10.0.2.15:51093
109.88.203.3:53 10.0.2.15:53655
109.88.203.3:53 10.0.2.15:63786
10.0.2.15:49741 13.107.21.239:443
13.107.21.239:443 10.0.2.15:49741
10.0.2.15:49672 184.86.1.11:443
184.86.1.11:443 10.0.2.15:49672
10.0.2.15:49673 184.86.1.11:443
10.0.2.15:49681 184.86.1.11:443
10.0.2.15:49675 184.86.1.11:443
184.86.1.11:443 10.0.2.15:49673
184.86.1.11:443 10.0.2.15:49681
184.86.1.11:443 10.0.2.15:49675
10.0.2.15:49676 184.86.1.11:443
184.86.1.11:443 10.0.2.15:49676
10.0.2.15:61298 109.88.203.3:53
109.88.203.3:53 10.0.2.15:61298
10.0.2.15:49742 13.107.4.52:80
13.107.4.52:80 10.0.2.15:49742
10.0.2.15:49678 52.184.216.226:443
10.0.2.15:49677 52.184.216.226:443
52.184.216.226:443 10.0.2.15:49678
52.184.216.226:443 10.0.2.15:49677
10.0.2.15:49680 52.184.212.181:443
52.184.212.181:443 10.0.2.15:49680
10.0.2.15:49679 52.184.216.226:443
52.184.216.226:443 10.0.2.15:49679
10.0.2.15:61301 239.255.255.250:1900
10.0.2.15:56035 109.88.203.3:53
109.88.203.3:53 10.0.2.15:56035
10.0.2.15:49746 51.137.16.103:443
51.137.16.103:443 10.0.2.15:49746
10.0.2.15:60808 109.88.203.3:53
109.88.203.3:53 10.0.2.15:60808
10.0.2.15:49747 13.107.42.16:443
10.0.2.15:49748 13.107.42.16:443
13.107.42.16:443 10.0.2.15:49747
13.107.42.16:443 10.0.2.15:49748
10.0.2.15:63404 109.88.203.3:53
10.0.2.15:57391 109.88.203.3:53
109.88.203.3:53 10.0.2.15:57391
109.88.203.3:53 10.0.2.15:63404
10.0.2.15:49650 109.88.203.3:53
10.0.2.15:61565 109.88.203.3:53
109.88.203.3:53 10.0.2.15:49650
10.0.2.15:63105 109.88.203.3:53
109.88.203.3:53 10.0.2.15:61565
109.88.203.3:53 10.0.2.15:63105
10.0.2.15:49749 65.52.67.156:443
10.0.2.15:49750 13.107.3.128:443
10.0.2.15:49751 137.135.225.146:443
13.107.3.128:443 10.0.2.15:49750
65.52.67.156:443 10.0.2.15:49749
137.135.225.146:443 10.0.2.15:49751
10.0.2.15:64400 109.88.203.3:53
109.88.203.3:53 10.0.2.15:64400
10.0.2.15:49752 40.125.120.53:443
40.125.120.53:443 10.0.2.15:49752
10.0.2.15:49753 13.107.42.16:443
13.107.42.16:443 10.0.2.15:49753
10.0.2.15:49736 140.82.113.25:443
140.82.113.25:443 10.0.2.15:49736
10.0.2.15:49738 185.199.110.133:443
185.199.110.133:443 10.0.2.15:49738
10.0.2.15:49731 140.82.121.6:443
140.82.121.6:443 10.0.2.15:49731
10.0.2.15:49702 13.107.21.239:443
13.107.21.239:443 10.0.2.15:49702
10.0.2.15:49704 204.79.197.200:443
204.79.197.200:443 10.0.2.15:49704
10.0.2.15:49698 20.135.25.7:443
10.0.2.15:49697 23.61.216.238:443
20.135.25.7:443 10.0.2.15:49698
23.61.216.238:443 10.0.2.15:49697
10.0.2.15:49705 204.79.197.203:443
10.0.2.15:49737 140.82.113.22:443
204.79.197.203:443 10.0.2.15:49705
140.82.113.22:443 10.0.2.15:49737
10.0.2.15:49709 13.225.239.52:443
13.225.239.52:443 10.0.2.15:49709
10.0.2.15:49712 13.107.21.200:443
13.107.21.200:443 10.0.2.15:49712
10.0.2.15:49711 68.219.88.97:443
68.219.88.97:443 10.0.2.15:49711
10.0.2.15:49740 13.107.238.67:443
13.107.238.67:443 10.0.2.15:49740
10.0.2.15:49734 2.17.197.240:80
10.0.2.15:49735 2.17.197.240:80
2.17.197.240:80 10.0.2.15:49734
2.17.197.240:80 10.0.2.15:49735
40.99.213.98:443 10.0.2.15:49695
10.0.2.15:64401 239.255.255.250:1900
